Day,Holiday,Type,year,month,day
Sunday,Last day of Hanukkah,Observance,2017,1,1
Sunday,New Year's Day,Restricted Holiday,2017,1,1
Thursday,Guru Govind Singh Jayanti,Restricted Holiday,2017,1,5
Saturday,Pongal,Restricted Holiday,2017,1,14
Saturday,Makar Sankranti,Restricted Holiday,2017,1,14
Thursday,Republic Day,Gazetted Holiday,2017,1,26
Saturday,Chinese New Year,Observance,2017,1,28
Wednesday,Vasant Panchami,Restricted Holiday,2017,2,1
Friday,Guru Ravidas Jayanti,Restricted Holiday,2017,2,10
Tuesday,Valentine's Day,Observance,2017,2,14
Sunday,Shivaji Jayanti,Restricted Holiday,2017,2,19
Tuesday,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday,2017,2,21
Friday,Maha Shivaratri/Shivaratri,Gazetted Holiday,2017,2,24
Sunday,Holika Dahana,Restricted Holiday,2017,3,12
Monday,Holi,Restricted Holiday,2017,3,13
Monday,March Equinox,Season,2017,3,20
Tuesday,Chaitra Sukhladi,Restricted Holiday,2017,3,28
Tuesday,Rama Navami,Gazetted Holiday,2017,4,4
Sunday,Mahavir Jayanti,Gazetted Holiday,2017,4,9
Tuesday,First day of Passover,Observance,2017,4,11
Tuesday,Hazarat Ali's Birthday,Restricted Holiday,2017,4,11
Thursday,Maundy Thursday,"Observance, Christian",2017,4,13
Friday,Good Friday,Gazetted Holiday,2017,4,14
Friday,Vaisakhi,Restricted Holiday,2017,4,14
Friday,Ambedkar Jayanti,Observance,2017,4,14
Saturday,Mesadi/Vaisakhadi,Restricted Holiday,2017,4,15
Sunday,Easter Day,Restricted Holiday,2017,4,16
Monday,May Day,Observance,2017,5,1
Tuesday,Birthday of Ravindranath,Restricted Holiday,2017,5,9
Wednesday,Buddha Purnima/Vesak,Gazetted Holiday,2017,5,10
Sunday,Mother's Day,Observance,2017,5,14
Sunday,Father's Day,Observance,2017,6,18
Wednesday,June Solstice,Season,2017,6,21
Friday,Jamat Ul-Vida,Restricted Holiday,2017,6,23
Sunday,Rath Yatra,Restricted Holiday,2017,6,25
Monday,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday",2017,6,26
Sunday,Guru Purnima,Observance,2017,7,9
Sunday,Friendship Day,Observance,2017,8,6
Monday,Raksha Bandhan (Rakhi),Restricted Holiday,2017,8,7
Tuesday,Independence Day,Gazetted Holiday,2017,8,15
Tuesday,Janmashtami,Gazetted Holiday,2017,8,15
Thursday,Parsi New Year,Restricted Holiday,2017,8,17
Friday,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday,2017,8,25
Saturday,Bakr Id/Eid ul-Adha,Gazetted Holiday,2017,9,2
Monday,Onam,Restricted Holiday,2017,9,4
Saturday,September Equinox,Season,2017,9,23
Wednesday,Maha Saptami,Restricted Holiday,2017,9,27
Thursday,Maha Ashtami,Restricted Holiday,2017,9,28
Friday,Maha Navami,Restricted Holiday,2017,9,29
Saturday,Dussehra,Gazetted Holiday,2017,9,30
Sunday,Muharram/Ashura,Gazetted Holiday,2017,10,1
Monday,Mahatma Gandhi Jayanti,Gazetted Holiday,2017,10,2
Thursday,Maharishi Valmiki Jayanti,Restricted Holiday,2017,10,5
Sunday,Karaka Chaturthi (Karva Chauth),Restricted Holiday,2017,10,8
Wednesday,Naraka Chaturdasi,Restricted Holiday,2017,10,18
Thursday,Diwali/Deepavali,Gazetted Holiday,2017,10,19
Friday,Govardhan Puja,Restricted Holiday,2017,10,20
Saturday,Bhai Duj,Restricted Holiday,2017,10,21
Thursday,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday,2017,10,26
Tuesday,Halloween,Observance,2017,10,31
Saturday,Guru Nanak Jayanti,Gazetted Holiday,2017,11,4
Friday,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday,2017,11,24
Saturday,Milad un-Nabi/Id-e-Milad,Gazetted Holiday,2017,12,2
Wednesday,First Day of Hanukkah,Observance,2017,12,13
Wednesday,Last day of Hanukkah,Observance,2017,12,20
Thursday,December Solstice,Season,2017,12,21
Sunday,Christmas Eve,Restricted Holiday,2017,12,24
Monday,Christmas,Gazetted Holiday,2017,12,25
Monday,Guru Govind Singh Jayanti,Observance,2017,12,25
Sunday,New Year's Eve,Observance,2017,12,31
Monday,New Year's Day,Restricted Holiday,2018,1,1
Sunday,Pongal,Restricted Holiday,2018,1,14
Sunday,Makar Sankranti,Restricted Holiday,2018,1,14
Monday,Vasant Panchami,Restricted Holiday,2018,1,22
Friday,Republic Day,Gazetted Holiday,2018,1,26
Wednesday,Guru Ravidas Jayanti,Restricted Holiday,2018,1,31
Saturday,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday,2018,2,10
Wednesday,Maha Shivaratri/Shivaratri,Gazetted Holiday,2018,2,14
Wednesday,Valentine's Day,Observance,2018,2,14
Friday,Chinese New Year,Observance,2018,2,16
Monday,Shivaji Jayanti,Restricted Holiday,2018,2,19
Thursday,Holika Dahana,Restricted Holiday,2018,3,1
Friday,Holi,Restricted Holiday,2018,3,2
Sunday,Chaitra Sukhladi,Restricted Holiday,2018,3,18
Tuesday,March Equinox,Season,2018,3,20
Sunday,Rama Navami,Restricted Holiday,2018,3,25
Thursday,Maundy Thursday,"Observance, Christian",2018,3,29
Thursday,Mahavir Jayanti,Gazetted Holiday,2018,3,29
Friday,Good Friday,Gazetted Holiday,2018,3,30
Saturday,First day of Passover,Observance,2018,3,31
Sunday,Hazarat Ali's Birthday,Restricted Holiday,2018,4,1
Sunday,Easter Day,Restricted Holiday,2018,4,1
Saturday,Vaisakhi,Restricted Holiday,2018,4,14
Saturday,Ambedkar Jayanti,Gazetted Holiday,2018,4,14
Sunday,Mesadi/Vaisakhadi,Restricted Holiday,2018,4,15
Monday,Buddha Purnima/Vesak,Gazetted Holiday,2018,4,30
Tuesday,May Day,Observance,2018,5,1
Wednesday,Birthday of Ravindranath,Restricted Holiday,2018,5,9
Sunday,Mother's Day,Observance,2018,5,13
Friday,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday",2018,6,15
Friday,Jamat Ul-Vida,Restricted Holiday,2018,6,15
Saturday,Ramzan Id/Eid-ul-Fitar,Gazetted Holiday,2018,6,16
Sunday,Father's Day,Observance,2018,6,17
Thursday,June Solstice,Season,2018,6,21
Saturday,Rath Yatra,Restricted Holiday,2018,7,14
Friday,Guru Purnima,Observance,2018,7,27
Sunday,Friendship Day,Observance,2018,8,5
Wednesday,Independence Day,Gazetted Holiday,2018,8,15
Friday,Parsi New Year,Restricted Holiday,2018,8,17
Wednesday,Bakr Id/Eid ul-Adha,Gazetted Holiday,2018,8,22
Saturday,Onam,Restricted Holiday,2018,8,25
Sunday,Raksha Bandhan (Rakhi),Restricted Holiday,2018,8,26
Monday,Janmashtami,Gazetted Holiday,2018,9,3
Monday,Janmashtami (Smarta),Observance,2018,9,3
Thursday,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday,2018,9,13
Friday,Muharram/Ashura,Gazetted Holiday,2018,9,21
Sunday,September Equinox,Season,2018,9,23
Tuesday,Mahatma Gandhi Jayanti,Gazetted Holiday,2018,10,2
Tuesday,Maha Saptami,Restricted Holiday,2018,10,16
Wednesday,Maha Ashtami,Restricted Holiday,2018,10,17
Thursday,Maha Navami,Restricted Holiday,2018,10,18
Friday,Dussehra,Gazetted Holiday,2018,10,19
Wednesday,Maharishi Valmiki Jayanti,Restricted Holiday,2018,10,24
Saturday,Karaka Chaturthi (Karva Chauth),Restricted Holiday,2018,10,27
Wednesday,Halloween,Observance,2018,10,31
Tuesday,Naraka Chaturdasi,Restricted Holiday,2018,11,6
Wednesday,Diwali/Deepavali,Gazetted Holiday,2018,11,7
Thursday,Govardhan Puja,Restricted Holiday,2018,11,8
Friday,Bhai Duj,Restricted Holiday,2018,11,9
Tuesday,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday,2018,11,13
Wednesday,Milad un-Nabi/Id-e-Milad,Gazetted Holiday,2018,11,21
Friday,Guru Nanak Jayanti,Gazetted Holiday,2018,11,23
Saturday,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday,2018,11,24
Monday,First Day of Hanukkah,Observance,2018,12,3
Monday,Last day of Hanukkah,Observance,2018,12,10
Saturday,December Solstice,Season,2018,12,22
Monday,Christmas Eve,Restricted Holiday,2018,12,24
Tuesday,Christmas,Gazetted Holiday,2018,12,25
Monday,New Year's Eve,Observance,2018,12,31
Sunday,New Year's Eve,Observance,2018,12,31
Tuesday,New Year's Day,Restricted Holiday,2019,1,1
Sunday,Guru Govind Singh Jayanti,Restricted Holiday,2019,1,13
Sunday,Lohri,Restricted Holiday,2019,1,13
Monday,Makar Sankranti,Restricted Holiday,2019,1,14
Tuesday,Pongal,Restricted Holiday,2019,1,15
Saturday,Republic Day,Gazetted Holiday,2019,1,26
Tuesday,Chinese New Year,Observance,2019,2,5
Sunday,Vasant Panchami,Restricted Holiday,2019,2,10
Thursday,Valentine's Day,Observance,2019,2,14
Tuesday,Shivaji Jayanti,Restricted Holiday,2019,2,19
Tuesday,Guru Ravidas Jayanti,Restricted Holiday,2019,2,19
Friday,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday,2019,3,1
Monday,Maha Shivaratri/Shivaratri,Gazetted Holiday,2019,3,4
Thursday,March Equinox,Season,2019,3,21
Wednesday,Holika Dahana,Restricted Holiday,2019,3,20
Thursday,Holi,Restricted Holiday,2019,3,21
Thursday,Dolyatra,Restricted Holiday,2019,3,21
Thursday,Hazarat Ali's Birthday,Restricted Holiday,2019,3,21
Saturday,Chaitra Sukhladi,Restricted Holiday,2019,4,6
Saturday,Rama Navami,Restricted Holiday,2019,4,13
Sunday,Vaisakhi,Restricted Holiday,2019,4,14
Sunday,Mesadi/Vaisakhadi,Restricted Holiday,2019,4,14
Sunday,Ambedkar Jayanti,Gazetted Holiday,2019,4,14
Wednesday,Mahavir Jayanti,Gazetted Holiday,2019,4,17
Thursday,Maundy Thursday,"Observance, Christian",2019,4,18
Friday,Good Friday,Gazetted Holiday,2019,4,19
Saturday,First day of Passover,Observance,2019,4,20
Sunday,Easter Day,Restricted Holiday,2019,4,21
Wednesday,May Day,Observance,2019,5,1
Tuesday,Birthday of Ravindranath,Restricted Holiday,2019,5,7
Sunday,Mother's Day,Observance,2019,5,12
Saturday,Buddha Purnima/Vesak,Gazetted Holiday,2019,5,18
Friday,Jamat Ul-Vida,Restricted Holiday,2019,5,31
Wednesday,Ramzan Id/Eid-ul-Fitar,Gazetted Holiday,2019,6,5
Wednesday,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday",2019,6,5
Sunday,Father's Day,Observance,2019,6,16
Friday,June Solstice,Season,2019,6,21
Thursday,Rath Yatra,Restricted Holiday,2019,7,4
Tuesday,Guru Purnima,Observance,2019,7,16
Sunday,Friendship Day,Observance,2019,8,4
Monday,Bakr Id/Eid ul-Adha,Gazetted Holiday,2019,8,12
Thursday,Independence Day,Gazetted Holiday,2019,8,15
Thursday,Raksha Bandhan (Rakhi),Restricted Holiday,2019,8,15
Saturday,Parsi New Year,Restricted Holiday,2019,8,17
Friday,Janmashtami (Smarta),Observance,2019,8,23
Saturday,Janmashtami,Gazetted Holiday,2019,8,24
Monday,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday,2019,9,2
Tuesday,Muharram/Ashura,Gazetted Holiday,2019,9,10
Wednesday,Onam,Restricted Holiday,2019,9,11
Monday,September Equinox,Season,2019,9,23
Wednesday,Mahatma Gandhi Jayanti,Gazetted Holiday,2019,10,2
Saturday,Maha Saptami,Restricted Holiday,2019,10,5
Sunday,Maha Ashtami,Restricted Holiday,2019,10,6
Monday,Maha Navami,Restricted Holiday,2019,10,7
Tuesday,Dussehra,Gazetted Holiday,2019,10,8
Sunday,Maharishi Valmiki Jayanti,Restricted Holiday,2019,10,13
Thursday,Karaka Chaturthi (Karva Chauth),Restricted Holiday,2019,10,17
Sunday,Naraka Chaturdasi,Restricted Holiday,2019,10,27
Sunday,Diwali/Deepavali,Gazetted Holiday,2019,10,27
Monday,Govardhan Puja,Restricted Holiday,2019,10,28
Tuesday,Bhai Duj,Restricted Holiday,2019,10,29
Thursday,Halloween,Observance,2019,10,31
Saturday,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday,2019,11,2
Sunday,Milad un-Nabi/Id-e-Milad,Gazetted Holiday,2019,11,10
Tuesday,Guru Nanak Jayanti,Gazetted Holiday,2019,11,12
Sunday,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday,2019,11,24
Sunday,December Solstice,Season,2019,12,22
Monday,First Day of Hanukkah,Observance,2019,12,23
Tuesday,Christmas Eve,Restricted Holiday,2019,12,24
Wednesday,Christmas,Gazetted Holiday,2019,12,25
Monday,Last day of Hanukkah,Observance,2019,12,30
Tuesday,New Year's Eve,Observance,2019,12,31
